base_query_id,base_query,gold_answer,n_aliases,gold_source,original_gold_year,n_requests,volatility,years_annotated,n_years_annotated,latest_annotated_year,years_gap_to_corpus,n_distinct_answer_sets,stable_across_annotated_years,gold_equals_latest_annotated,gold_differs_from_some_annotated_year,answer_at_latest_year,freshqa_next_review,freshqa_fact_type,freshqa_false_premise,note
q_3df9aae8,Who is the current delegate representing Guam's at-large congressional district?,100px Michael San Nicolas,2,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,6,0,1,1,100px james moylan | 100px michael san nicolas,,,,6 distinct answer sets across 24 years
q_3e28f963,What's the current Tomatometer score of The Lord of the Rings: The Rings of Power on Rotten Tomatoes?,83%,2,freshqa,2022,1,SINGLE_YEAR,2022,1,2022,4,,,1,,,frequently,fast-changing,,"FreshQA carries a single effective_year, not a year series — volatility UNDETERMINED; next_review='frequently', fact_type='fast-changing'"
q_3e574628,How many bonus points have the Highlanders achieved in their last reported rugby union season standings?,2,1,temporal_align_qa,2023,2,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,12,0,1,1,2,,,,12 distinct answer sets across 24 years
q_3e5fda75,What is the capital of Cambodia?,PHNOM PENH,12,triviaqa,,1,NOT_TIME_KEYED,,0,,,,,,,,,,,TriviaQA carries no year-keyed annotation
q_3ec48396,What train model won the most recent Blue Ribbon Award (railway)?,HC85 series DEMU,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,24,0,1,1,hc85 series demu,,,,24 distinct answer sets across 24 years
q_3ee7411d,Who is the current bench coach for the St. Louis Cardinals?,Joe McEwing,1,temporal_align_qa,2023,2,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,8,0,1,1,joe mcewing,,,,8 distinct answer sets across 24 years
q_3f0409f7,Which team was led by the most recent WNBA Coach of the Year Award winner?,Connecticut Sun,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,14,0,1,1,connecticut sun,,,,14 distinct answer sets across 24 years
q_3f541a35,Which university is hosting the ongoing UAAP season?,Adamson University,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,14,0,1,1,adamson university,,,,14 distinct answer sets across 24 years
q_3f8c84fb,Which school holds the championship title for Class 2A in the Iowa Girls High School Athletic Union Softball?,Iowa City Regina,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,16,0,1,1,iowa city regina,,,,16 distinct answer sets across 24 years
q_40d3878e,Who was the runner-up in the Veikkausliiga?,HJK,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,8,0,1,1,hjk,,,,8 distinct answer sets across 24 years
q_41540d4e,What unusual means of transport connects North Greenwich to the Royal Docks?,Cable Car,10,triviaqa,,2,NOT_TIME_KEYED,,0,,,,,,,,,,,TriviaQA carries no year-keyed annotation
q_41afd862,Which team did the Los Angeles Angels face in their most recent Opening Day game?,Oakland Athletics,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,11,0,1,1,oakland athletics,,,,11 distinct answer sets across 24 years
q_4209c718,Who is serving as the U.S. House representative for South Carolina's 4th congressional district?,William Timmons,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,7,0,1,1,william timmons,,,,7 distinct answer sets across 24 years
q_4241a3d3,Who is the most recent recipient of the Norm Smith Medal?,Bobby Hill Australian footballer,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,21,0,1,1,bobby hill australian footballer,,,,21 distinct answer sets across 24 years
q_424c03e3,Who was Craig Lowndes' co-driver in the last race he participated in the Bathurst 1000?,Zane Goddard,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,9,0,1,1,zane goddard,,,,9 distinct answer sets across 24 years
q_43f2a8a0,What team ended up thirteenth in the standings of the Western Conference most recently?,Portugal,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,21,0,1,1,portugal,,,,21 distinct answer sets across 24 years
q_440c74b3,Odette and Prince Siegfried are lovers in which ballet?,SWAN LAKE,12,triviaqa,,1,NOT_TIME_KEYED,,0,,,,,,,,,,,TriviaQA carries no year-keyed annotation
q_44acf3c6,Which jockey rode the winning horse in the latest Del Mar Debutante Stakes?,Mike E. Smith,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,14,0,1,1,mike e. smith,,,,14 distinct answer sets across 24 years
q_44d9dff7,At which battle of 1403 did Henry 'Hotspur' Percy die?,Shrewsbury,12,triviaqa,,2,NOT_TIME_KEYED,,0,,,,,,,,,,,TriviaQA carries no year-keyed annotation
q_450041cf,"Who won the 2022 Nobel Prize in Chemistry from University of Copenhagen, Denmark?",Morten Meldal,3,freshqa,2022,1,SINGLE_YEAR,2022,1,2022,4,,,1,,,,never-changing,,"FreshQA carries a single effective_year, not a year series — volatility UNDETERMINED; next_review='', fact_type='never-changing'"
q_450e7484,"How high in feet, normally, is a standard basketball hoop off the ground?",Ten feet,4,triviaqa,,1,NOT_TIME_KEYED,,0,,,,,,,,,,,TriviaQA carries no year-keyed annotation
q_470d2d0f,Who is the most recent recipient of the Edgar Martínez Award?,Shohei Ohtani,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,13,0,1,1,shohei ohtani,,,,13 distinct answer sets across 24 years
q_47ba6dcb,What company is displayed as the current shirt sponsor on Hapoel Haifa F.C.'s jerseys?,Leos,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,19,0,1,1,leos,,,,19 distinct answer sets across 24 years
q_486683c8,Which areas are included in the California's 10th congressional district as of now?,2013–2023 300px Central Valley including Modesto and Tracy,2,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,5,0,1,1,"2013–2023 300px central valley including modesto and tracy | 2023–present 300px eastern san francisco bay area, including parts of stanislaus and san joaquin",,,,5 distinct answer sets across 24 years
q_4882dc27,Who is the current head coach of the Iceland men's national handball team?,Guðmundur Guðmundsson,2,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,14,0,1,1,gunnar magnússon / ágúst þór jóhannsson | guðmundur guðmundsson,,,,14 distinct answer sets across 24 years
q_48e27a79,Which pair earned the silver medal in the Pairs category at the last European Figure Skating Championships?,Rebecca Ghilardi / Filippo Ambrosini,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,15,0,1,1,rebecca ghilardi / filippo ambrosini,,,,15 distinct answer sets across 24 years
q_4913788c,What role is performed by the latest aircraft type added to the Executive Transport Wing of the German Air Force?,Medical evacuation,7,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,6,0,1,1,berlin area governmental air transport | long range governmental air transport | medical evacuation | medium range governmental air transport | medium range governmental air transport aeromedical evacuation | medium range governmental air transport short range governmental air transport | open skies,,,,6 distinct answer sets across 24 years
q_493b174b,What is the most recent Walt Disney Animation Studios's animated film?,Strange World,1,freshqa,2022,1,SINGLE_YEAR,2022,1,2022,4,,,1,,,frequently,fast-changing,,"FreshQA carries a single effective_year, not a year series — volatility UNDETERMINED; next_review='frequently', fact_type='fast-changing'"
q_49493ec6,What is the SI unit of resistance?,Ohm,12,triviaqa,,1,NOT_TIME_KEYED,,0,,,,,,,,,,,TriviaQA carries no year-keyed annotation
q_4987dd97,"French mariner, Jacques Cartier, left home in 1534 to sail across the Atlantic, to explore which river?",ST. LAWRENCE,12,triviaqa,,1,NOT_TIME_KEYED,,0,,,,,,,,,,,TriviaQA carries no year-keyed annotation
q_498e07da,Who currently represents New York's 22nd congressional district?,100px Brandon Williams,2,temporal_align_qa,2023,2,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,11,0,1,1,100px brandon williams | 100px claudia tenney,,,,11 distinct answer sets across 24 years
q_4a625c6c,Which team does the current Les Cunningham Award winner play for?,Calgary Wranglers,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,22,0,1,1,calgary wranglers,,,,22 distinct answer sets across 24 years
q_4bc25294,Who plays the position of third on Colin Hufman's current curling team?,Chris Plys,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,14,0,1,1,chris plys,,,,14 distinct answer sets across 24 years
q_4ccc0c84,What is the car number of the A-GAME 200 winning vehicle?,19,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,14,0,1,1,19,,,,14 distinct answer sets across 24 years
q_4d8a4de4,Which artist(s) performed on the most recent winner of the Grammy Award for Best Historical Album?,Wilco,1,temporal_align_qa,2023,2,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,20,0,1,1,wilco,,,,20 distinct answer sets across 24 years
q_4ddbae0c,Who is the current Master of the Worshipful Company of Security Professionals?,Paul Miller,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,23,0,1,1,paul miller,,,,23 distinct answer sets across 24 years
q_4deb87ba,Which English town is twinned with Disney World?,SWINDON,8,triviaqa,,1,NOT_TIME_KEYED,,0,,,,,,,,,,,TriviaQA carries no year-keyed annotation
q_4dfb357f,What was the winning score at the latest Price Cutter Charity Championship?,263,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,11,0,1,1,263,,,,11 distinct answer sets across 24 years
q_4e2156f7,Who is the coach of the team that won the most recent Úrvalsdeild karla (basketball) championship?,Pavel Ermolinskij,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,19,0,1,1,pavel ermolinskij,,,,19 distinct answer sets across 24 years
q_4e2929ec,How many humans have landed on Mars?,No humans have been to Mars yet.,4,freshqa,before 2022,1,SINGLE_YEAR,before 2022,1,before 2022,,,,1,,,occasionally,slow-changing,,"FreshQA carries a single effective_year, not a year series — volatility UNDETERMINED; next_review='occasionally', fact_type='slow-changing'"
q_4e6d28cb,Who is one of the players currently leading as top scorer in the UEFA Europa League?,ENG Marcus Rashford,2,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,24,0,1,1,eng marcus rashford | nga victor boniface,,,,24 distinct answer sets across 24 years
q_4ec7b3d4,Who holds the UAE Pro League top scorer title?,Kodjo Laba,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,22,0,1,1,kodjo laba,,,,22 distinct answer sets across 24 years
q_4ee9519a,Although it can come in colourless varieties what is the usual colour of the drink Absinthe?,GREEN,7,triviaqa,,1,NOT_TIME_KEYED,,0,,,,,,,,,,,TriviaQA carries no year-keyed annotation
q_4ef6bd87,Who is the current president of Lake Erie College?,Brian Posler,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,7,0,1,1,brian posler,,,,7 distinct answer sets across 24 years
q_4efb2d83,"What name was given to Colleen LaRose, who was accused of conspiring with fighters overseas and pledging to commit murder in the name of a Muslim holy war, and pleaded not guilty in court in Philadelphia in March 2010?",Jihad Jane,12,triviaqa,,2,NOT_TIME_KEYED,,0,,,,,,,,,,,TriviaQA carries no year-keyed annotation
q_50156db6,How many votes were against the initial Budget Implementation Act for the latest Canadian federal budget?,115,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,16,0,1,1,115,,,,16 distinct answer sets across 24 years
q_5026a65e,"Appointed in 2012, who is the President of the Fifth French Republic?",Francois Hollande,9,triviaqa,,1,NOT_TIME_KEYED,,0,,,,,,,,,,,TriviaQA carries no year-keyed annotation
q_50abcf1d,"Britain's first stretch of motorway, opened in December 1958, bypassed which town (now officially a city) ?",PRESTON,3,triviaqa,,1,NOT_TIME_KEYED,,0,,,,,,,,,,,TriviaQA carries no year-keyed annotation
q_50e17bb5,"Lee Marvin had a number one hit record with 'Wanderin' Star' in 1970, but which actor had a minor hit with the flipside - 'I Talk To The Trees'?",CLINT EASTWOOD,12,triviaqa,,1,NOT_TIME_KEYED,,0,,,,,,,,,,,TriviaQA carries no year-keyed annotation
q_511a84fd,Which division is Jeanfield Swifts F.C. currently competing in?,East of Scotland Premier Division,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,11,0,1,1,east of scotland premier division,,,,11 distinct answer sets across 24 years
q_51ad3d0a,Which athlete placed third in the latest Iceland's Strongest Man event?,Theodór Már Gudmundsson,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,16,0,1,1,theodór már gudmundsson,,,,16 distinct answer sets across 24 years
q_51b242c2,Which cricket team won the Nottinghamshire Cricket Board Premier League most recently?,Cuckney,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,7,0,1,1,cuckney,,,,7 distinct answer sets across 24 years
q_51c973e7,Who is the most recent NBA player to score 60 or more points in a single game?,Damian Lillard,3,freshqa,2023,1,SINGLE_YEAR,2023,1,2023,3,,,1,,,frequently,fast-changing,,"FreshQA carries a single effective_year, not a year series — volatility UNDETERMINED; next_review='frequently', fact_type='fast-changing'"
q_52507e09,I what year did the 'Cod' war between Britain and Iceland begin?,1972,3,triviaqa,,1,NOT_TIME_KEYED,,0,,,,,,,,,,,TriviaQA carries no year-keyed annotation
q_526494bb,Which basketball team won the most recent BSN championship?,Gigantes de Carolina,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,9,0,1,1,gigantes de carolina,,,,9 distinct answer sets across 24 years
q_5284772a,Who is the most recent recipient of the Babe Ruth Award?,Adolis García,1,temporal_align_qa,2023,2,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,24,0,1,1,adolis garcía,,,,24 distinct answer sets across 24 years
q_52957594,In which television series is LL Cool J currently starring as a main cast member?,Hip Hop Treasures,6,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,23,0,1,1,america in black | fight the power: how hip-hop changed the world | hip hop treasures | ncis: hawai'i | ncis: los angeles | superfan,,,,23 distinct answer sets across 24 years
q_531f875a,What is the name of the horse that won the most recent Avondale Cup at Avondale Racecourse?,Aquacade,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,23,0,1,1,aquacade,,,,23 distinct answer sets across 24 years
q_5329f934,Who is the leading goalkicker for the Brisbane Lions Australian Football League team?,Joe Daniher,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,11,0,1,1,joe daniher,,,,11 distinct answer sets across 24 years
q_534fcd60,How many novels has Stephen King published?,66 novels,4,freshqa,2023,1,SINGLE_YEAR,2023,1,2023,3,,,1,,,frequently,fast-changing,,"FreshQA carries a single effective_year, not a year series — volatility UNDETERMINED; next_review='frequently', fact_type='fast-changing'"
q_53b66262,Where is Tesla's headquarters?,"Austin, TX",2,freshqa,before 2022,1,SINGLE_YEAR,before 2022,1,before 2022,,,,1,,,occasionally,slow-changing,,"FreshQA carries a single effective_year, not a year series — volatility UNDETERMINED; next_review='occasionally', fact_type='slow-changing'"
q_53e77e63,How many games are there in the Ace Attorney main series?,6,2,freshqa,before 2022,2,SINGLE_YEAR,before 2022,1,before 2022,,,,1,,,occasionally,slow-changing,,"FreshQA carries a single effective_year, not a year series — volatility UNDETERMINED; next_review='occasionally', fact_type='slow-changing'"
q_5431673a,Where was the Rugby Europe Under-18 Championship final held?,Prague,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,17,0,1,1,prague,,,,17 distinct answer sets across 24 years
q_54467ccf,Who is one of the outfielders in the National League who has won a Gold Glove Award?,Ian Happ,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,17,0,1,1,ian happ,,,,17 distinct answer sets across 24 years
q_54cc8f89,Who is the top scorer in the current Allsvenskan season?,Sweden Isaac Kiese Thelin,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,24,0,1,1,sweden isaac kiese thelin,,,,24 distinct answer sets across 24 years
q_560436e5,Who is the Sheffield Wednesday F.C. Player of the Year?,Liam Palmer,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,23,0,1,1,liam palmer,,,,23 distinct answer sets across 24 years
q_5653e571,Where was the World Junior Speed Skating Championships held most recently?,Inzell,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,19,0,1,1,inzell,,,,19 distinct answer sets across 24 years
q_56a62a28,What is the title of the book that won the Ethel Turner Prize for Young People's Literature recently?,The Upwelling,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,24,0,1,1,the upwelling,,,,24 distinct answer sets across 24 years
q_56aea0d0,Which team won the Algerian Women's Championship most recently?,Afak Relizane,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,10,0,1,1,afak relizane,,,,10 distinct answer sets across 24 years
q_56e02d43,Along what tectonic plate boundary were yeti crabs first discovered?,Pacific-Antarctic Ridge,3,freshqa,before 2022,1,SINGLE_YEAR,before 2022,1,before 2022,,,,1,,,,never-changing,,"FreshQA carries a single effective_year, not a year series — volatility UNDETERMINED; next_review='', fact_type='never-changing'"
q_56ebbb98,How many podium finishes has Nicolas Lapierre had this season?,5,2,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,18,0,1,1,0 | 5,,,,18 distinct answer sets across 24 years
q_56ee58f4,Who is the reigning champion of the C division for the Montana High School Association Cross Country State Championships?,Roberts,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,9,0,1,1,roberts,,,,9 distinct answer sets across 24 years
q_579c926b,Which American invented the computer mouse whilst working at the Stamford Research Institute in 1964?,DOUGLAS ENGLEBART,9,triviaqa,,1,NOT_TIME_KEYED,,0,,,,,,,,,,,TriviaQA carries no year-keyed annotation
q_57bc7dc8,Which brand and model of motorcycle won the Baja 500?,KTM,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,5,0,1,1,ktm,,,,5 distinct answer sets across 24 years
q_57d1c01a,Who is the current manager of FK Partizan?,Gordan Petrić,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,23,0,1,1,gordan petrić,,,,23 distinct answer sets across 24 years
q_58db0825,Which jockey rode the winning horse in the Southwest Stakes with a time of 1,John R. Velazquez,1,temporal_align_qa,2023,2,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,16,0,1,1,john r. velazquez,,,,16 distinct answer sets across 24 years
q_59076011,Who is the most recent recipient of the Doak Walker Award?,Ollie Gordon II,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,22,0,1,1,ollie gordon ii,,,,22 distinct answer sets across 24 years
q_593f6d73,What is the name of the school that came in eighth in the South Australian Head of the River race?,Adelaide HS,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,5,0,1,0,adelaide hs,,,,5 distinct answer sets across 24 years
q_594b8e7a,What was the venue of the most recent game between the Brisbane Broncos and the North Queensland Cowboys?,Queensland Country Bank Stadium,2,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,5,0,1,1,queensland country bank stadium | suncorp stadium,,,,5 distinct answer sets across 24 years
q_595ca0b6,Who finished third in the latest edition of the World Freshwater Angling Championships?,England Sean Ashby,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,22,0,1,1,england sean ashby,,,,22 distinct answer sets across 24 years
q_5a80cc0d,Who is the champion of the men’s category in the Walt Disney World Marathon?,Daniel Dos Santos,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,10,0,1,1,daniel dos santos,,,,10 distinct answer sets across 24 years
q_5aac65b6,Which film won the Toronto International Film Festival People's Choice Award most recently?,The Holdovers,3,temporal_align_qa,2023,2,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,24,0,1,1,american fiction | the boy and the heron | the holdovers,,,,24 distinct answer sets across 24 years
q_5abb871e,Which team does the latest Performance Index Rating leader of the Greek Basket League play for?,Olympiacos,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,19,0,1,1,olympiacos,,,,19 distinct answer sets across 24 years
q_5ac8d92d,When does this year's Passover start?,"Apr 5, 2023",10,freshqa,2023,1,SINGLE_YEAR,2023,1,2023,3,,,1,,,01/01/2024,fast-changing,,"FreshQA carries a single effective_year, not a year series — volatility UNDETERMINED; next_review='01/01/2024', fact_type='fast-changing'"
